"","resolution","neighbor","Z","reference","id"
"1",50,1,3.28905701206494,"1",NA
"2",100,1,14.4143112483701,"1",NA
"3",200,1,47.739840401644,"1",NA
"4",300,1,75.8564884123228,"1",NA
"5",50,2,250.389733183934,"1",NA
"6",100,2,249.262744796845,"1",NA
"7",200,2,236.762654065675,"1",NA
"8",300,2,232.417331950791,"1",NA
"9",50,3,332.378568343045,"1",NA
"10",100,3,334.178487700085,"1",NA
"11",200,3,334.491496901329,"1",NA
"12",300,3,336.71892128844,"1",NA
"13",50,4,173.114462416445,"1",NA
"14",100,4,175.981831093484,"1",NA
"15",200,4,179.574280020391,"1",NA
"16",300,4,188.072564440181,"1",NA
"17",50,5,13.2455842560208,"1",NA
"18",100,5,15.0553628233023,"1",NA
"19",200,5,23.6900178664421,"1",NA
"20",300,5,30.9202511230445,"1",NA
"21",50,6,128.579227026227,"1",NA
"22",100,6,111.501221926743,"1",NA
"23",200,6,71.6228222118116,"1",NA
"24",300,6,28.9764683034671,"1",NA
"25",50,7,132.218280676488,"1",NA
"26",100,7,136.808195148603,"1",NA
"27",200,7,148.451776779693,"1",NA
"28",300,7,166.337959502995,"1",NA
"29",50,8,85.5766979524287,"1",NA
"30",100,8,84.9644708339006,"1",NA
"31",200,8,83.1204270773334,"1",NA
"32",300,8,83.9371466953083,"1",NA
"33",50,9,260.002955972569,"1",NA
"34",100,9,253.042745795709,"1",NA
"35",200,9,232.58161133735,"1",NA
"36",300,9,203.281257994011,"1",NA
"37",50,10,-58.6674240446744,"1",NA
"38",100,10,-69.9796775848636,"1",NA
"39",200,10,-81.5708374391561,"1",NA
"40",300,10,-94.2800160766787,"1",NA
"41",50,11,240.209219372136,"1",NA
"42",100,11,237.710373333556,"1",NA
"43",200,11,233.927064205247,"1",NA
"44",300,11,229.194335229688,"1",NA
"45",50,12,1.13866733074858,"1",NA
"46",100,12,-3.02755938416783,"1",NA
"47",200,12,-20.4849243997384,"1",NA
"48",300,12,-32.5904998156788,"1",NA
"49",50,13,221.957966526706,"1",NA
"50",100,13,221.584146644542,"1",NA
"51",200,13,219.312214431128,"1",NA
"52",300,13,216.687913245103,"1",NA
"53",50,14,35.8993540997182,"1",NA
"54",100,14,36.626808012221,"1",NA
"55",200,14,40.4708341402722,"1",NA
"56",300,14,43.8421848124966,"1",NA
"57",50,15,307.195398483006,"1",NA
"58",100,15,303.582388217931,"1",NA
"59",200,15,296.118350604553,"1",NA
"60",300,15,288.678982726587,"1",NA
"61",50,16,262.249125657891,"1",NA
"62",100,16,263.714523057769,"1",NA
"63",200,16,265.410342689925,"1",NA
"64",300,16,267.832119996845,"1",NA
"65",50,17,-498.802907289631,"1",NA
"66",100,17,-496.937667871221,"1",NA
"67",200,17,-488.41974593658,"1",NA
"68",300,17,-478.766474998298,"1",NA
"69",50,18,-363.516479636071,"1",NA
"70",100,18,-366.349630449103,"1",NA
"71",200,18,-371.927163237941,"1",NA
"72",300,18,-377.814263212081,"1",NA
"73",50,19,-236.414042252169,"1",NA
"74",100,19,-240.247737256452,"1",NA
"75",200,19,-248.682327533266,"1",NA
"76",300,19,-258.466172868967,"1",NA
"77",50,20,-184.208288941629,"1",NA
"78",100,20,-196.227270914222,"1",NA
"79",200,20,-225.226150166645,"1",NA
"80",300,20,-247.40401959624,"1",NA
"81",50,21,-369.100224648457,"1",NA
"82",100,21,-365.777144445542,"1",NA
"83",200,21,-363.186836196981,"1",NA
"84",300,21,-355.368242362827,"1",NA
"85",50,22,-333.874381199405,"1",NA
"86",100,22,-330.944805957565,"1",NA
"87",200,22,-322.691791705148,"1",NA
"88",300,22,-316.653587874492,"1",NA
"89",50,23,-313.562860512954,"1",NA
"90",100,23,-309.692722007593,"1",NA
"91",200,23,-301.822541003741,"1",NA
"92",300,23,-296.309886402702,"1",NA
"93",50,1,-3.51982028672156,"2",NA
"94",100,1,-12.5219125083707,"2",NA
"95",200,1,-42.3184661700768,"2",NA
"96",300,1,-68.6210515575907,"2",NA
"97",50,2,1214.47349777334,"2",NA
"98",100,2,1211.74729772337,"2",NA
"99",200,2,1204.6697603235,"2",NA
"100",300,2,1198.74557772801,"2",NA
"101",50,3,400.528397763185,"2",NA
"102",100,3,399.395571860902,"2",NA
"103",200,3,389.902651838481,"2",NA
"104",300,3,385.148449858243,"2",NA
"105",50,4,252.043852869645,"2",NA
"106",100,4,250.601180574491,"2",NA
"107",200,4,240.998228156817,"2",NA
"108",300,4,230.34419470777,"2",NA
"109",50,5,762.637449488265,"2",NA
"110",100,5,759.443199505595,"2",NA
"111",200,5,749.866090330224,"2",NA
"112",300,5,745.463526533989,"2",NA
"113",50,6,145.871593659118,"2",NA
"114",100,6,148.70407155865,"2",NA
"115",200,6,150.632158391776,"2",NA
"116",300,6,157.550997111436,"2",NA
"117",50,7,242.548325603066,"2",NA
"118",100,7,237.495194868405,"2",NA
"119",200,7,220.905462235206,"2",NA
"120",300,7,210.733663536364,"2",NA
"121",50,8,317.104605364266,"2",NA
"122",100,8,312.051755374629,"2",NA
"123",200,8,299.492280307421,"2",NA
"124",300,8,278.4752211888,"2",NA
"125",50,9,247.424298264692,"2",NA
"126",100,9,247.380134723066,"2",NA
"127",200,9,247.77228790547,"2",NA
"128",300,9,246.239404235955,"2",NA
"129",50,10,146.296896373653,"2",NA
"130",100,10,146.921157425817,"2",NA
"131",200,10,146.701131904223,"2",NA
"132",300,10,148.02481527631,"2",NA
