"","resolution","neighbor","Z","reference","id"
"1",50,1,-65.4278929860682,"1",NA
"2",250,1,-23.5710299251901,"1",NA
"3",500,1,-7.85917790294107,"1",NA
"4",1000,1,3.32230016083966,"1",NA
"5",50,2,164.971071034163,"1",NA
"6",250,2,153.456465773011,"1",NA
"7",500,2,128.729464172569,"1",NA
"8",1000,2,123.172315310545,"1",NA
"9",50,3,119.016055226291,"1",NA
"10",250,3,110.116313465212,"1",NA
"11",500,3,113.57430108634,"1",NA
"12",1000,3,120.552519139569,"1",NA
"13",50,4,65.4799764186924,"1",NA
"14",250,4,68.0743179419485,"1",NA
"15",500,4,75.8878787399053,"1",NA
"16",1000,4,84.6497640518767,"1",NA
"17",50,5,37.5194204473882,"1",NA
"18",250,5,46.364509538361,"1",NA
"19",500,5,49.6949232432337,"1",NA
"20",1000,5,51.321428904099,"1",NA
"21",50,6,68.600191178864,"1",NA
"22",250,6,19.9204820307868,"1",NA
"23",500,6,-5.50432331741261,"1",NA
"24",1000,6,-9.99924820126161,"1",NA
"25",50,7,28.9427703599829,"1",NA
"26",250,7,42.5980729252777,"1",NA
"27",500,7,50.8066802609194,"1",NA
"28",1000,7,56.1623335981846,"1",NA
"29",50,8,34.8317475919562,"1",NA
"30",250,8,31.6065089600409,"1",NA
"31",500,8,30.0208205743649,"1",NA
"32",1000,8,36.4592694081014,"1",NA
"33",50,9,123.295513265928,"1",NA
"34",250,9,76.6452574762137,"1",NA
"35",500,9,54.3655211405913,"1",NA
"36",1000,9,47.8716743762943,"1",NA
"37",50,10,17.5886559638095,"1",NA
"38",250,10,-4.25444230725046,"1",NA
"39",500,10,-9.03580277195502,"1",NA
"40",1000,10,-10.1935011392578,"1",NA
"41",50,11,101.387473085125,"1",NA
"42",250,11,89.8025908821789,"1",NA
"43",500,11,84.3200955583851,"1",NA
"44",1000,11,73.5537195856959,"1",NA
"45",50,12,-0.0325345175166733,"1",NA
"46",250,12,-19.9217368320452,"1",NA
"47",500,12,-25.6252584499705,"1",NA
