"","resolution","neighbor","Z","reference","id"
"1",25,1,0.55101648338686,"1",NA
"2",50,1,3.28905701206494,"1",NA
"3",100,1,14.4143112483701,"1",NA
"4",200,1,47.739840401644,"1",NA
"5",300,1,75.8564884123228,"1",NA
"6",500,1,109.772346994913,"1",NA
"7",25,2,251.543267947614,"1",NA
"8",50,2,250.389733183934,"1",NA
"9",100,2,249.262744796845,"1",NA
"10",200,2,236.762654065675,"1",NA
"11",300,2,232.417331950791,"1",NA
"12",500,2,192.097765678663,"1",NA
"13",25,3,331.670771592258,"1",NA
"14",50,3,332.378568343045,"1",NA
"15",100,3,334.178487700085,"1",NA
"16",200,3,334.491496901329,"1",NA
"17",300,3,336.71892128844,"1",NA
"18",500,3,341.886763608899,"1",NA
"19",25,4,171.874481021567,"1",NA
"20",50,4,173.114462416445,"1",NA
"21",100,4,175.981831093484,"1",NA
"22",200,4,179.574280020391,"1",NA
"23",300,4,188.072564440181,"1",NA
"24",500,4,204.508835806509,"1",NA
"25",25,5,12.4666670291904,"1",NA
"26",50,5,13.2455842560208,"1",NA
"27",100,5,15.0553628233023,"1",NA
"28",200,5,23.6900178664421,"1",NA
"29",300,5,30.9202511230445,"1",NA
"30",500,5,38.6605488889872,"1",NA
"31",25,6,132.535454242637,"1",NA
"32",50,6,128.579227026227,"1",NA
"33",100,6,111.501221926743,"1",NA
"34",200,6,71.6228222118116,"1",NA
"35",300,6,28.9764683034671,"1",NA
"36",500,6,-12.0817021162116,"1",NA
"37",25,7,131.161709818496,"1",NA
"38",50,7,132.218280676488,"1",NA
"39",100,7,136.808195148603,"1",NA
"40",200,7,148.451776779693,"1",NA
"41",300,7,166.337959502995,"1",NA
"42",500,7,178.12355794564,"1",NA
"43",25,8,85.5487482313074,"1",NA
"44",50,8,85.5766979524287,"1",NA
"45",100,8,84.9644708339006,"1",NA
"46",200,8,83.1204270773334,"1",NA
"47",300,8,83.9371466953083,"1",NA
"48",500,8,84.2181847100579,"1",NA
"49",25,9,263.89062713109,"1",NA
"50",50,9,260.002955972569,"1",NA
"51",100,9,253.042745795709,"1",NA
"52",200,9,232.58161133735,"1",NA
"53",300,9,203.281257994011,"1",NA
"54",500,9,168.853863118784,"1",NA
"55",25,10,-54.8406732493992,"1",NA
"56",50,10,-58.6674240446744,"1",NA
"57",100,10,-69.9796775848636,"1",NA
"58",200,10,-81.5708374391561,"1",NA
"59",300,10,-94.2800160766787,"1",NA
"60",500,10,-96.0616969372659,"1",NA
"61",25,11,239.889035512504,"1",NA
"62",50,11,240.209219372136,"1",NA
"63",100,11,237.710373333556,"1",NA
"64",200,11,233.927064205247,"1",NA
"65",300,11,229.194335229688,"1",NA
"66",500,11,224.168177857996,"1",NA
"67",25,12,3.05685367607182,"1",NA
"68",50,12,1.13866733074858,"1",NA
"69",100,12,-3.02755938416783,"1",NA
"70",200,12,-20.4849243997384,"1",NA
"71",300,12,-32.5904998156788,"1",NA
"72",500,12,-46.9936678408806,"1",NA
"73",25,13,222.421665203871,"1",NA
"74",50,13,221.957966526706,"1",NA
"75",100,13,221.584146644542,"1",NA
"76",200,13,219.312214431128,"1",NA
"77",300,13,216.687913245103,"1",NA
"78",500,13,211.446952979237,"1",NA
"79",25,14,35.8896698277181,"1",NA
"80",50,14,35.8993540997182,"1",NA
"81",100,14,36.626808012221,"1",NA
"82",200,14,40.4708341402722,"1",NA
"83",300,14,43.8421848124966,"1",NA
"84",500,14,37.0984238638584,"1",NA
"85",25,15,308.448176279317,"1",NA
"86",50,15,307.195398483006,"1",NA
