"","resolution","neighbor","Z","reference","id"
"1",50,1,0.0598480696913083,"1",NA
"2",250,1,9.68787805563103,"1",NA
"3",500,1,15.0404093380005,"1",NA
"4",1000,1,19.221689161909,"1",NA
"5",2500,1,24.1235834524253,"1",NA
"6",5000,1,29.2707802330327,"1",NA
"7",50,2,77.6152280439318,"1",NA
"8",250,2,76.3765128634842,"1",NA
"9",500,2,66.4090941821567,"1",NA
"10",1000,2,62.4122576918339,"1",NA
"11",2500,2,58.5539768152389,"1",NA
"12",5000,2,54.1898301605295,"1",NA
"13",50,3,72.5892606481975,"1",NA
"14",250,3,76.5121417309925,"1",NA
"15",500,3,77.1253171026334,"1",NA
"16",1000,3,76.8184502033838,"1",NA
"17",2500,3,76.598234680136,"1",NA
"18",5000,3,77.2213278962549,"1",NA
"19",50,4,56.3990485467109,"1",NA
"20",250,4,61.0986127439482,"1",NA
"21",500,4,62.6017298867097,"1",NA
"22",1000,4,62.4044146988833,"1",NA
"23",2500,4,63.0268101129862,"1",NA
"24",5000,4,64.3390466630426,"1",NA
"25",50,5,26.8059919683035,"1",NA
"26",250,5,32.1249241051256,"1",NA
"27",500,5,33.9775216926107,"1",NA
"28",1000,5,34.9790445520277,"1",NA
"29",2500,5,35.6186032450382,"1",NA
"30",5000,5,36.3488774896131,"1",NA
"31",50,6,33.9396475231841,"1",NA
"32",250,6,17.4860132244403,"1",NA
"33",500,6,6.66605559171439,"1",NA
"34",1000,6,3.26717245489551,"1",NA
"35",2500,6,-0.935388121111241,"1",NA
"36",5000,6,-2.77612396168359,"1",NA
"37",50,7,36.2469845352099,"1",NA
"38",250,7,40.1629268363393,"1",NA
"39",500,7,43.6063174145663,"1",NA
"40",1000,7,45.2155600132135,"1",NA
"41",2500,7,46.5041414619434,"1",NA
"42",5000,7,48.1829282234904,"1",NA
"43",50,8,26.4777050735701,"1",NA
"44",250,8,27.197677827764,"1",NA
"45",500,8,28.4762902732011,"1",NA
"46",1000,8,30.4977427584938,"1",NA
"47",2500,8,33.2891352224389,"1",NA
"48",5000,8,35.9041671080361,"1",NA
"49",50,9,61.6243994439985,"1",NA
"50",250,9,51.6796216234692,"1",NA
"51",500,9,44.9627976082151,"1",NA
"52",1000,9,41.3006231277399,"1",NA
"53",2500,9,37.2469659068077,"1",NA
"54",5000,9,37.0496234835419,"1",NA
"55",50,10,14.225134031662,"1",NA
"56",250,10,9.09642598812184,"1",NA
"57",500,10,4.9517451588617,"1",NA
"58",1000,10,2.46977443192382,"1",NA
"59",2500,10,1.48975680453828,"1",NA
"60",5000,10,0.818386963377527,"1",NA
"61",50,11,41.7479824012795,"1",NA
"62",250,11,39.0185148386049,"1",NA
"63",500,11,39.2802153196188,"1",NA
"64",1000,11,38.5890573797678,"1",NA
"65",2500,11,38.1310852249264,"1",NA
"66",5000,11,36.8454354142753,"1",NA
"67",50,12,-47.826949959427,"1",NA
"68",250,12,-55.3280374724991,"1",NA
"69",500,12,-56.1080587158737,"1",NA
"70",1000,12,-57.4218176161636,"1",NA
"71",2500,12,-58.3851560775407,"1",NA
"72",5000,12,-63.4965052509794,"1",NA
"73",50,13,42.4956464300386,"1",NA
"74",250,13,41.8842299294319,"1",NA
"75",500,13,41.8998580762928,"1",NA
"76",1000,13,41.9467579888067,"1",NA
"77",2500,13,40.3496534328665,"1",NA
"78",5000,13,38.7033607630109,"1",NA
"79",50,14,-11.1222073097928,"1",NA
"80",250,14,-9.22923304109306,"1",NA
"81",500,14,-8.33763715696685,"1",NA
"82",1000,14,-7.96902741510305,"1",NA
"83",2500,14,-7.93201367180862,"1",NA
"84",5000,14,-8.93986770769834,"1",NA
"85",50,15,60.9677587104829,"1",NA
"86",250,15,58.5310586083693,"1",NA
"87",500,15,57.4045869603924,"1",NA
"88",1000,15,55.9875456333921,"1",NA
"89",2500,15,55.4949130695124,"1",NA
"90",5000,15,54.8922692489355,"1",NA
"91",50,16,57.3739926707157,"1",NA
"92",250,16,58.1012993680035,"1",NA
"93",500,16,58.9190518149057,"1",NA
